State,County,max_aqi,p90_aqi,median_aqi,mean_days_unhealthy,mean_days_sensitive,risk_label
Oklahoma,Comanche,339,77,45.333333333333336,0.0,3.0,High Risk
Oklahoma,Oklahoma,459,77,52.833333333333336,0.0,6.333333333333333,High Risk
Oklahoma,Tulsa,508,77,51.5,1.0,7.333333333333333,High Risk
Idaho,Shoshone,440,75,43.666666666666664,2.5,3.0,High Risk
Arizona,Yuma,519,74,48.166666666666664,1.0,5.166666666666667,High Risk
Idaho,Benewah,492,74,45.0,2.5,3.8333333333333335,High Risk
Nevada,Lyon,328,74,40.833333333333336,0.5,2.1666666666666665,High Risk
North Dakota,Oliver,323,74,39.5,3.0,5.333333333333333,High Risk
Oregon,Grant,393,74,44.666666666666664,3.8333333333333335,2.3333333333333335,High Risk
Washington,Chelan,817,74,30.333333333333332,4.166666666666667,2.6666666666666665,High Risk
Washington,Kittitas,724,74,25.666666666666668,1.3333333333333333,1.5,High Risk
Washington,Stevens,957,74,39.333333333333336,2.1666666666666665,3.1666666666666665,High Risk
North Dakota,Mercer,322,73,37.833333333333336,2.3333333333333335,4.166666666666667,High Risk
Arizona,Santa Cruz,494,72,44.0,0.5,2.6666666666666665,High Risk
Kansas,Neosho,315,71,47.333333333333336,0.5,1.3333333333333333,High Risk
Kansas,Trego,318,71,42.5,0.3333333333333333,2.6666666666666665,High Risk
Oregon,Marion,1272,70,35.833333333333336,0.3333333333333333,2.3333333333333335,High Risk
North Dakota,Dunn,318,69,38.0,2.1666666666666665,4.833333333333333,High Risk
California,Santa Cruz,624,68,37.166666666666664,1.6666666666666667,1.1666666666666667,High Risk
Kansas,Sumner,370,68,47.166666666666664,0.3333333333333333,2.8333333333333335,High Risk
Pennsylvania,Northampton,368,68,42.5,0.6666666666666666,1.8333333333333333,High Risk
Oregon,Linn,853,67,31.0,0.0,1.1666666666666667,High Risk
Oregon,Washington,595,67,35.333333333333336,0.3333333333333333,1.1666666666666667,High Risk
Pennsylvania,Lehigh,337,67,42.333333333333336,0.8333333333333334,0.8333333333333334,High Risk
Washington,Spokane,785,67,40.166666666666664,1.8333333333333333,1.3333333333333333,High Risk
Oregon,Umatilla,738,66,39.0,0.6666666666666666,2.1666666666666665,High Risk
Washington,Clark,874,66,33.166666666666664,0.8333333333333334,0.6666666666666666,High Risk
Oregon,Crook,1033,65,26.833333333333332,2.1666666666666665,3.1666666666666665,High Risk
Oregon,Jefferson,1135,64,26.833333333333332,0.5,2.0,High Risk
Oregon,Multnomah,779,63,36.5,0.3333333333333333,1.0,High Risk
Washington,Benton,954,63,36.5,1.3333333333333333,2.5,High Risk
Idaho,Kootenai,518,62,27.666666666666668,1.8333333333333333,1.8333333333333333,High Risk
Oregon,Douglas,902,62,37.0,1.0,1.3333333333333333,High Risk
Puerto Rico,Mayagnez,396,62,24.333333333333332,0.3333333333333333,1.5,High Risk
Oregon,Clackamas,481,61,31.333333333333332,0.8333333333333334,2.6666666666666665,High Risk
Oregon,Union,326,61,25.5,1.0,2.0,High Risk
Puerto Rico,Ponce,380,61,18.166666666666668,0.16666666666666666,0.0,High Risk
Massachusetts,Essex,1513,60,40.333333333333336,0.3333333333333333,1.8333333333333333,High Risk
Michigan,Monroe,607,59,21.0,0.0,0.2,High Risk
Washington,Grant,316,59,26.666666666666668,1.8333333333333333,1.0,High Risk
Washington,Walla Walla,855,59,25.333333333333332,0.8333333333333334,1.0,High Risk
Wyoming,Platte,927,59,16.5,2.1666666666666665,3.3333333333333335,High Risk
